Restaurant Name,Restaurant Rating,Restaurant Address,Contact No.,Cuisine,Opening Hours,Google Reviews
"Pronto Pizza Nepal
",3.9,"44600, Kathmandu",01-4418123,Not Provided,"Friday	11AM–8:30PM
Saturday	11AM–8:30PM
Sunday	11AM–8PM
Monday	11AM–8PM
Tuesday	11AM–8PM
Wednesday	11AM–8PM
Thursday	11AM–8PM
","31 Google reviews
"
"Krua Thai Restaurant
",4.2,"Tangal Marg, Kathmandu 44600",01-4424751,Not Provided,"Friday	10:30AM–10PM
Saturday	10:30AM–10PM
Sunday	10:30AM–10PM
Monday	10:30AM–10PM
Tuesday	10:30AM–10PM
Wednesday	10:30AM–10PM
Thursday	10:30AM–10PM
","114 Google reviews
"
"Cafe Mitra
",4.4,"Thamel Marg, Kathmandu 44600",01-4256336,Not Provided,"Friday	7AM–10PM
Saturday	7AM–10PM
Sunday	7AM–10:30PM
Monday	7AM–10PM
Tuesday	7AM–10PM
Wednesday	7AM–10PM
Thursday	7AM–10PM
","77 Google reviews
"
"The Ship Restaurant Bar & Lounge
",4.2,"अमृत मार्ग, Kathmandu 44600",01-4412561,Not Provided,"Friday	8AM–10PM
Saturday	8AM–10PM
Sunday	8AM–10PM
Monday	8AM–10PM
Tuesday	8AM–10PM
Wednesday	8AM–10PM
Thursday	8AM–10PM
","127 Google reviews
"
"El Mediterraneo
",4.2,"Jhamshikhel, Lalitpur, Patan 44700",01-5527059,Not Provided,"Friday	12:30–9PM
Saturday	12:30–9PM
Sunday	12:30–9PM
Monday	12:30–9PM
Tuesday	12:30–9PM
Wednesday	12:30–9PM
Thursday	12:30–9PM
","102 Google reviews
"
"REEF Restaurant and Lounge Bar
",4.1,"5F, A1 Business complex, Thamel Marg, Kathmandu 44600",01-4411523,Not Provided,"Friday	7AM–12AM
Saturday	7AM–12AM
Sunday	7AM–12AM
Monday	7AM–12AM
Tuesday	7AM–12AM
Wednesday	7AM–12AM
Thursday	7AM–12AM
","547 Google reviews
"
"Thamel Doner Kebab
",4.5,"Grand Hotel, Sorhakhutte Kathmandu (Near Kathmandu, Kathmandu",984-1411215,Not Provided,"Friday	12–9:30PM
Saturday	12–9:30PM
Sunday	12–9:30PM
Monday	12–9:30PM
Tuesday	12–9:30PM
Wednesday	12–9:30PM
Thursday	12–9:30PM
","269 Google reviews
"
"Forest & Plate
",4.6,"Mandala Street, Kathmandu 44600",01-4701161,Not Provided,"Friday	11AM–9:30PM
Saturday	11AM–9:30PM
Sunday	11AM–9:30PM
Monday	11AM–9:30PM
Tuesday	11AM–9:30PM
Wednesday	11AM–9:30PM
Thursday	11AM–9:30PM
","98 Google reviews
"
"French Bakery
",4.4,"Paknajol Marg, Kathmandu 44600",01-4251998,Restaurant,"Friday	7AM–9PM
Saturday	7AM–9PM
Sunday	7AM–9PM
Monday	7AM–9PM
Tuesday	7AM–9PM
Wednesday	7AM–9PM
Thursday	7AM–9PM
","254 Google reviews
"
"Revolution Cafe & Restaurant
",4.1,"Amrit Marg, Kathmandu 44600",01-4433630,Restaurant,"Friday	7AM–10PM
Saturday	7AM–10PM
Sunday	7AM–10PM
Monday	7AM–10PM
Tuesday	7AM–10PM
Wednesday	7AM–10PM
Thursday	7AM–10PM
","240 Google reviews
"
